gene_symbol,ensembl_id,sample_name,tissue,condition_name,expression_value,expression_unit,source_database
IL6,ENSG00000136244,MAIT T-cell,MAIT T-cell,normal immune cell,0.0,TPM,Human Protein Atlas
IL6,ENSG00000136244,NK-cell,NK-cell,normal immune cell,0.0,TPM,Human Protein Atlas
IL6,ENSG00000136244,T-reg,T-reg,normal immune cell,0.0,TPM,Human Protein Atlas
IL6,ENSG00000136244,basophil,basophil,normal immune cell,0.0,TPM,Human Protein Atlas
IL6,ENSG00000136244,classical monocyte,classical monocyte,normal immune cell,0.0,TPM,Human Protein Atlas
IL6,ENSG00000136244,eosinophil,eosinophil,normal immune cell,0.0,TPM,Human Protein Atlas
IL6,ENSG00000136244,gdT-cell,gdT-cell,normal immune cell,0.0,TPM,Human Protein Atlas
IL6,ENSG00000136244,intermediate monocyte,intermediate monocyte,normal immune cell,0.0,TPM,Human Protein Atlas
IL6,ENSG00000136244,memory B-cell,memory B-cell,normal immune cell,2.7,TPM,Human Protein Atlas
IL6,ENSG00000136244,memory CD4 T-cell,memory CD4 T-cell,normal immune cell,0.0,TPM,Human Protein Atlas
IL6,ENSG00000136244,memory CD8 T-cell,memory CD8 T-cell,normal immune cell,0.0,TPM,Human Protein Atlas
IL6,ENSG00000136244,myeloid DC,myeloid DC,normal immune cell,0.0,TPM,Human Protein Atlas
IL6,ENSG00000136244,naive B-cell,naive B-cell,normal immune cell,3.9,TPM,Human Protein Atlas
IL6,ENSG00000136244,naive CD4 T-cell,naive CD4 T-cell,normal immune cell,0.0,TPM,Human Protein Atlas
IL6,ENSG00000136244,naive CD8 T-cell,naive CD8 T-cell,normal immune cell,0.0,TPM,Human Protein Atlas
IL6,ENSG00000136244,neutrophil,neutrophil,normal immune cell,0.0,TPM,Human Protein Atlas
IL6,ENSG00000136244,non-classical monocyte,non-classical monocyte,normal immune cell,0.0,TPM,Human Protein Atlas
IL6,ENSG00000136244,plasmacytoid DC,plasmacytoid DC,normal immune cell,0.0,TPM,Human Protein Atlas
IL6,ENSG00000136244,total PBMC,total PBMC,normal immune cell,0.0,TPM,Human Protein Atlas
IL1B,ENSG00000125538,MAIT T-cell,MAIT T-cell,normal immune cell,0.0,TPM,Human Protein Atlas
IL1B,ENSG00000125538,NK-cell,NK-cell,normal immune cell,0.2,TPM,Human Protein Atlas
IL1B,ENSG00000125538,T-reg,T-reg,normal immune cell,0.0,TPM,Human Protein Atlas
IL1B,ENSG00000125538,basophil,basophil,normal immune cell,1.6,TPM,Human Protein Atlas
IL1B,ENSG00000125538,classical monocyte,classical monocyte,normal immune cell,9.4,TPM,Human Protein Atlas
IL1B,ENSG00000125538,eosinophil,eosinophil,normal immune cell,3.5,TPM,Human Protein Atlas
IL1B,ENSG00000125538,gdT-cell,gdT-cell,normal immune cell,0.0,TPM,Human Protein Atlas
IL1B,ENSG00000125538,intermediate monocyte,intermediate monocyte,normal immune cell,15.8,TPM,Human Protein Atlas
IL1B,ENSG00000125538,memory B-cell,memory B-cell,normal immune cell,0.0,TPM,Human Protein Atlas
IL1B,ENSG00000125538,memory CD4 T-cell,memory CD4 T-cell,normal immune cell,0.0,TPM,Human Protein Atlas
IL1B,ENSG00000125538,memory CD8 T-cell,memory CD8 T-cell,normal immune cell,0.0,TPM,Human Protein Atlas
IL1B,ENSG00000125538,myeloid DC,myeloid DC,normal immune cell,16.5,TPM,Human Protein Atlas
IL1B,ENSG00000125538,naive B-cell,naive B-cell,normal immune cell,0.0,TPM,Human Protein Atlas
IL1B,ENSG00000125538,naive CD4 T-cell,naive CD4 T-cell,normal immune cell,0.0,TPM,Human Protein Atlas
IL1B,ENSG00000125538,naive CD8 T-cell,naive CD8 T-cell,normal immune cell,0.0,TPM,Human Protein Atlas
IL1B,ENSG00000125538,neutrophil,neutrophil,normal immune cell,61.5,TPM,Human Protein Atlas
IL1B,ENSG00000125538,non-classical monocyte,non-classical monocyte,normal immune cell,6.3,TPM,Human Protein Atlas
IL1B,ENSG00000125538,plasmacytoid DC,plasmacytoid DC,normal immune cell,0.0,TPM,Human Protein Atlas
IL1B,ENSG00000125538,total PBMC,total PBMC,normal immune cell,1.3,TPM,Human Protein Atlas
TNF,ENSG00000232810,MAIT T-cell,MAIT T-cell,normal immune cell,40.3,TPM,Human Protein Atlas
TNF,ENSG00000232810,NK-cell,NK-cell,normal immune cell,2.9,TPM,Human Protein Atlas
TNF,ENSG00000232810,T-reg,T-reg,normal immune cell,13.3,TPM,Human Protein Atlas
TNF,ENSG00000232810,basophil,basophil,normal immune cell,0.0,TPM,Human Protein Atlas
TNF,ENSG00000232810,classical monocyte,classical monocyte,normal immune cell,8.6,TPM,Human Protein Atlas
TNF,ENSG00000232810,eosinophil,eosinophil,normal immune cell,0.0,TPM,Human Protein Atlas
TNF,ENSG00000232810,gdT-cell,gdT-cell,normal immune cell,27.6,TPM,Human Protein Atlas
TNF,ENSG00000232810,intermediate monocyte,intermediate monocyte,normal immune cell,33.7,TPM,Human Protein Atlas
TNF,ENSG00000232810,memory B-cell,memory B-cell,normal immune cell,5.7,TPM,Human Protein Atlas
TNF,ENSG00000232810,memory CD4 T-cell,memory CD4 T-cell,normal immune cell,18.1,TPM,Human Protein Atlas
TNF,ENSG00000232810,memory CD8 T-cell,memory CD8 T-cell,normal immune cell,15.1,TPM,Human Protein Atlas
TNF,ENSG00000232810,myeloid DC,myeloid DC,normal immune cell,6.9,TPM,Human Protein Atlas
TNF,ENSG00000232810,naive B-cell,naive B-cell,normal immune cell,6.5,TPM,Human Protein Atlas
TNF,ENSG00000232810,naive CD4 T-cell,naive CD4 T-cell,normal immune cell,5.0,TPM,Human Protein Atlas
TNF,ENSG00000232810,naive CD8 T-cell,naive CD8 T-cell,normal immune cell,6.1,TPM,Human Protein Atlas
TNF,ENSG00000232810,neutrophil,neutrophil,normal immune cell,14.3,TPM,Human Protein Atlas
TNF,ENSG00000232810,non-classical monocyte,non-classical monocyte,normal immune cell,60.1,TPM,Human Protein Atlas
TNF,ENSG00000232810,plasmacytoid DC,plasmacytoid DC,normal immune cell,4.4,TPM,Human Protein Atlas
TNF,ENSG00000232810,total PBMC,total PBMC,normal immune cell,6.7,TPM,Human Protein Atlas
IFNG,ENSG00000111537,MAIT T-cell,MAIT T-cell,normal immune cell,0.0,TPM,Human Protein Atlas
IFNG,ENSG00000111537,NK-cell,NK-cell,normal immune cell,1.1,TPM,Human Protein Atlas
IFNG,ENSG00000111537,T-reg,T-reg,normal immune cell,0.1,TPM,Human Protein Atlas
IFNG,ENSG00000111537,basophil,basophil,normal immune cell,0.0,TPM,Human Protein Atlas
