gene_symbol	ensembl_id	uniprot_id	gene_class
IL6	ENSG00000136244	P05231	cytokine
IL1B	ENSG00000125538	P01584	cytokine
TNF	ENSG00000232810	P01375	cytokine
IFNG	ENSG00000111537	P01579	cytokine
IL10	ENSG00000136634	P22301	cytokine
CXCL8	ENSG00000169429	P10145	chemokine
CCL2	ENSG00000108691	P13500	chemokine
TLR2	ENSG00000137462	O60603	pattern recognition receptor
TLR4	ENSG00000136869	O00206	pattern recognition receptor
CD14	ENSG00000170458	P08571	pattern recognition receptor
MYD88	ENSG00000172936	Q99836	signaling adaptor
NFKB1	ENSG00000109320	P19838	transcription factor
RELA	ENSG00000173039	Q04206	transcription factor
STAT1	ENSG00000115415	P42224	transcription factor
STAT3	ENSG00000168610	P40763	transcription factor
JAK1	ENSG00000162434	P23458	kinase
JAK2	ENSG00000096968	O60674	kinase
IRF3	ENSG00000126456	Q14653	transcription factor
IRF7	ENSG00000185507	Q92985	transcription factor
HLA-DRA	ENSG00000204287	P01903	antigen presentation
